observation_date,HBFRGDQ188S
1970-01-01,5.30822
1970-04-01,5.40579
1970-07-01,5.52456
1970-10-01,5.70453
1971-01-01,5.65561
1971-04-01,5.66476
1971-07-01,5.74012
1971-10-01,5.89769
1972-01-01,5.68011
1972-04-01,5.63817
1972-07-01,5.40073
1972-10-01,5.25997
1973-01-01,5.39387
1973-04-01,5.30453
1973-07-01,5.31441
1973-10-01,5.31739
1974-01-01,5.33124
1974-04-01,5.26125
1974-07-01,5.19222
1974-10-01,5.03226
1975-01-01,5.03677
1975-04-01,5.12757
1975-07-01,5.08825
1975-10-01,4.98913
1976-01-01,4.93275
1976-04-01,5.09628
1976-07-01,5.10983
1976-10-01,5.01480
1977-01-01,4.82740
1977-04-01,4.97104
1977-07-01,4.94224
1977-10-01,4.74987
1978-01-01,4.61240
1978-04-01,4.72201
1978-07-01,4.81409
1978-10-01,4.42480
1979-01-01,4.38928
1979-04-01,4.23348
1979-07-01,4.32979
1979-10-01,4.31369
1980-01-01,4.18303
1980-04-01,4.45064
1980-07-01,4.22548
1980-10-01,4.06289
1981-01-01,3.80897
1981-04-01,3.79443
1981-07-01,3.81217
1981-10-01,3.99291
1982-01-01,3.86647
1982-04-01,3.81156
1982-07-01,3.99249
1982-10-01,4.09398
1983-01-01,3.93561
1983-04-01,3.95937
1983-07-01,4.21232
1983-10-01,4.00295
1984-01-01,3.85870
1984-04-01,3.81335
1984-07-01,3.79507
1984-10-01,3.87846
1985-01-01,3.80600
1985-04-01,3.93724
1985-07-01,3.86845
1985-10-01,4.07957
1986-01-01,4.09948
1986-04-01,4.04590
1986-07-01,4.14092
1986-10-01,4.53664
1987-01-01,4.15912
1987-04-01,4.41725
1987-07-01,4.33816
1987-10-01,4.44489
1988-01-01,4.28709
1988-04-01,4.38533
1988-07-01,4.33858
1988-10-01,4.41522
1989-01-01,4.14788
1989-04-01,4.13009
1989-07-01,3.88210
1989-10-01,3.94624
1990-01-01,3.71039
1990-04-01,3.88253
1990-07-01,3.89685
1990-10-01,3.91524
1991-01-01,3.99325
1991-04-01,4.03959
1991-07-01,4.16698
1991-10-01,4.25410
1992-01-01,4.17721
1992-04-01,4.27925
1992-07-01,4.25941
1992-10-01,4.41564
1993-01-01,4.43572
1993-04-01,4.59837
1993-07-01,4.64103
1993-10-01,4.73357
1994-01-01,4.74025
1994-04-01,4.79651
1994-07-01,4.81512
1994-10-01,4.88915
1995-01-01,4.83496
1995-04-01,4.91492
1995-07-01,4.78581
1995-10-01,4.86582
1996-01-01,4.79255
1996-04-01,4.77913
1996-07-01,4.72120
1996-10-01,4.73258
1997-01-01,4.72458
1997-04-01,4.82344
1997-07-01,4.75365
1997-10-01,4.91335
1998-01-01,4.88582
1998-04-01,4.90317
1998-07-01,4.88976
1998-10-01,4.86443
1999-01-01,4.94811
1999-04-01,5.09017
1999-07-01,5.04820
1999-10-01,4.82820
2000-01-01,5.01591
2000-04-01,4.92695
2000-07-01,4.95631
2000-10-01,4.90334
2001-01-01,5.00371
2001-04-01,5.04859
2001-07-01,5.03962
2001-10-01,5.17520
2002-01-01,5.33593
2002-04-01,5.42551
2002-07-01,5.50071
2002-10-01,5.69004
2003-01-01,5.74094
2003-04-01,5.76428
2003-07-01,5.67233
2003-10-01,5.66333
2004-01-01,5.65357
2004-04-01,5.67498
2004-07-01,5.69104
2004-10-01,5.72993
2005-01-01,5.61827
2005-04-01,5.60798
2005-07-01,5.60314
2005-10-01,5.58532
2006-01-01,5.57755
2006-04-01,5.57243
2006-07-01,5.54354
2006-10-01,5.54789
2007-01-01,5.49324
2007-04-01,5.48879
2007-07-01,5.35288
2007-10-01,5.03294
2008-01-01,4.01998
2008-04-01,3.22084
2008-07-01,3.19887
2008-10-01,3.25776
2009-01-01,3.41143
2009-04-01,4.56498
2009-07-01,5.32360
2009-10-01,5.30057
2010-01-01,5.26055
2010-04-01,5.18685
2010-07-01,5.36073
2010-10-01,6.67234
2011-01-01,8.73142
2011-04-01,10.40974
2011-07-01,10.63864
2011-10-01,10.49977
2012-01-01,10.33742
2012-04-01,10.24180
2012-07-01,10.08178
2012-10-01,10.14651
2013-01-01,10.78796
2013-04-01,11.57652
2013-07-01,12.22319
2013-10-01,12.84782
2014-01-01,15.20316
2014-04-01,15.44595
2014-07-01,15.54294
2014-10-01,15.59506
2015-01-01,15.48701
2015-04-01,15.30926
2015-07-01,15.22746
2015-10-01,15.24317
2016-01-01,15.19654
2016-04-01,15.06597
2016-07-01,14.97991
2016-10-01,14.89677
2017-01-01,14.82945
2017-04-01,14.73401
2017-07-01,14.56159
2017-10-01,14.26423
2018-01-01,13.91374
2018-04-01,13.47340
2018-07-01,12.97127
2018-10-01,12.40400
2019-01-01,12.01554
2019-04-01,11.46271
2019-07-01,11.21895
2019-10-01,12.02432
2020-01-01,16.38259
2020-04-01,23.15149
2020-07-01,22.47210
2020-10-01,23.23571
2021-01-01,23.83992
2021-04-01,24.15330
2021-07-01,24.71199
2021-10-01,24.78706
2022-01-01,24.80604
2022-04-01,24.09072
2022-07-01,23.20753
2022-10-01,22.23615
2023-01-01,21.03215
2023-04-01,20.11552
2023-07-01,19.13765
2023-10-01,18.51413
2024-01-01,17.43728
2024-04-01,16.58989
2024-07-01,16.04762
