,Federal_Debt_FED_perc_GDP,quarter
0,5.30822,Q1-1970
1,5.40579,Q2-1970
2,5.52456,Q3-1970
3,5.70453,Q4-1970
4,5.65561,Q1-1971
5,5.66476,Q2-1971
6,5.74012,Q3-1971
7,5.89769,Q4-1971
8,5.68011,Q1-1972
9,5.63817,Q2-1972
10,5.40073,Q3-1972
11,5.25997,Q4-1972
12,5.39387,Q1-1973
13,5.30453,Q2-1973
14,5.31441,Q3-1973
15,5.31739,Q4-1973
16,5.33124,Q1-1974
17,5.26125,Q2-1974
18,5.19222,Q3-1974
19,5.03226,Q4-1974
20,5.03677,Q1-1975
21,5.12757,Q2-1975
22,5.08825,Q3-1975
23,4.98913,Q4-1975
24,4.93275,Q1-1976
25,5.09628,Q2-1976
26,5.10983,Q3-1976
27,5.0148,Q4-1976
28,4.8274,Q1-1977
29,4.97104,Q2-1977
30,4.94224,Q3-1977
31,4.74987,Q4-1977
32,4.6124,Q1-1978
33,4.72201,Q2-1978
34,4.81409,Q3-1978
35,4.4248,Q4-1978
36,4.38928,Q1-1979
37,4.23348,Q2-1979
38,4.32979,Q3-1979
39,4.31369,Q4-1979
40,4.18303,Q1-1980
41,4.45064,Q2-1980
42,4.22548,Q3-1980
43,4.06289,Q4-1980
44,3.80897,Q1-1981
45,3.79443,Q2-1981
46,3.81217,Q3-1981
47,3.99291,Q4-1981
48,3.86647,Q1-1982
49,3.81156,Q2-1982
50,3.99249,Q3-1982
51,4.09398,Q4-1982
52,3.93561,Q1-1983
53,3.95937,Q2-1983
54,4.21232,Q3-1983
55,4.00295,Q4-1983
56,3.8587,Q1-1984
57,3.81335,Q2-1984
58,3.79507,Q3-1984
59,3.87846,Q4-1984
60,3.806,Q1-1985
61,3.93724,Q2-1985
62,3.86845,Q3-1985
63,4.07957,Q4-1985
64,4.09948,Q1-1986
65,4.0459,Q2-1986
66,4.14092,Q3-1986
67,4.53664,Q4-1986
68,4.15912,Q1-1987
69,4.41725,Q2-1987
70,4.33816,Q3-1987
71,4.44489,Q4-1987
72,4.28709,Q1-1988
73,4.38533,Q2-1988
74,4.33858,Q3-1988
75,4.41522,Q4-1988
76,4.14788,Q1-1989
77,4.13009,Q2-1989
78,3.8821,Q3-1989
79,3.94624,Q4-1989
80,3.71039,Q1-1990
81,3.88253,Q2-1990
82,3.89685,Q3-1990
83,3.91524,Q4-1990
84,3.99325,Q1-1991
85,4.03959,Q2-1991
86,4.16698,Q3-1991
87,4.2541,Q4-1991
