quarter,fed_fund_rate,unemployment_rate,producer_price,PCECTPI,gdp_percentage_change_prev_q
Q4-1979,13.649333333333336,5.966666666666666,82.7,36.451,8.7
Q1-1980,15.065274725274726,6.3,86.53333333333335,37.545,10.0
Q2-1980,12.6689010989011,7.333333333333333,88.26666666666667,38.464,1.1
Q3-1980,9.823152173913044,7.666666666666667,91.16666666666669,39.364,8.7
Q4-1980,15.852826086956522,7.4,93.26666666666668,40.338,19.3
Q1-1981,16.595555555555556,7.433333333333334,96.1,41.384,19.9
Q2-1981,17.786923076923078,7.4,98.26666666666668,42.078,5.0
Q3-1981,17.594347826086956,7.4,98.93333333333334,42.772,13.0
Q4-1981,13.588369565217391,8.233333333333334,98.83333333333331,43.427,2.5
Q1-1982,14.207444444444445,8.833333333333334,99.7,43.979,-0.8
Q2-1982,14.514175824175824,9.433333333333334,99.8,44.402,7.2
Q3-1982,11.012717391304347,9.9,100.23333333333332,45.103,4.2
Q4-1982,9.28391304347826,10.666666666666666,100.33333333333331,45.601,4.4
Q1-1983,8.657555555555556,10.366666666666667,100.36666666666667,45.978,8.6
Q2-1983,8.802747252747253,10.133333333333333,100.73333333333332,46.398,12.7
Q3-1983,9.458152173913044,9.366666666666667,101.7,47.008,12.9
Q4-1983,9.430108695652176,8.533333333333333,102.2,47.318,11.9
Q1-1984,9.688571428571429,7.866666666666667,103.33333333333331,47.83,12.5
Q2-1984,10.554725274725277,7.433333333333334,104.03333333333336,48.293,10.8
Q3-1984,11.392282608695652,7.433333333333334,103.8,48.666,7.7
Q4-1984,9.2625,7.3,103.53333333333336,48.966,6.4
Q1-1985,8.475111111111111,7.233333333333333,103.26666666666668,49.544,8.1
Q2-1985,7.924395604395604,7.3,103.36666666666667,49.945,6.3
Q3-1985,7.900978260869565,7.2,102.66666666666669,50.337,8.8
Q4-1985,8.104456521739131,7.033333333333334,103.3,50.688,5.3
Q1-1986,7.826888888888888,7.033333333333334,101.73333333333332,51.047,5.9
Q2-1986,6.918461538461539,7.166666666666667,99.83333333333331,50.993,3.4
Q3-1986,6.20945652173913,6.966666666666666,99.36666666666667,51.263,5.6
Q4-1986,6.266739130434782,6.833333333333333,99.73333333333332,51.573,4.4
Q1-1987,6.222555555555555,6.599999999999999,100.9,52.061,5.7
Q2-1987,6.6499999999999995,6.266666666666667,102.5,52.564,7.3
Q3-1987,6.839565217391304,6.0,103.66666666666669,53.062,6.7
Q4-1987,6.919673913043479,5.833333333333333,104.16666666666669,53.52,10.5
Q1-1988,6.665934065934066,5.7,104.76666666666668,53.943,5.3
Q2-1988,7.154945054945055,5.466666666666666,106.5,54.539,9.5
Q3-1988,7.983478260869566,5.466666666666666,108.0,55.211,7.3
Q4-1988,8.468478260869565,5.333333333333333,108.5,55.769,9.1
Q1-1989,9.446444444444444,5.2,110.93333333333334,56.41,8.5
Q2-1989,9.725714285714286,5.233333333333333,112.8,57.17,7.6
Q3-1989,9.08358695652174,5.233333333333333,112.4,57.507,6.0
