Country Name,Value,quarter
United States,..,Q1-1974
United States,..,Q2-1974
United States,..,Q3-1974
United States,..,Q4-1974
United States,..,Q1-1975
United States,..,Q2-1975
United States,..,Q3-1975
United States,..,Q4-1975
United States,..,Q1-1976
United States,..,Q2-1976
United States,..,Q3-1976
United States,..,Q4-1976
United States,..,Q1-1977
United States,..,Q2-1977
United States,..,Q3-1977
United States,..,Q4-1977
United States,..,Q1-1978
United States,..,Q2-1978
United States,..,Q3-1978
United States,..,Q4-1978
United States,..,Q1-1979
United States,..,Q2-1979
United States,..,Q3-1979
United States,..,Q4-1979
United States,..,Q1-1980
United States,..,Q2-1980
United States,..,Q3-1980
United States,..,Q4-1980
United States,..,Q1-1981
United States,..,Q2-1981
United States,..,Q3-1981
United States,..,Q4-1981
United States,..,Q1-1982
United States,..,Q2-1982
United States,..,Q3-1982
United States,..,Q4-1982
United States,..,Q1-1983
United States,..,Q2-1983
United States,..,Q3-1983
United States,..,Q4-1983
United States,..,Q1-1984
United States,..,Q2-1984
United States,..,Q3-1984
United States,..,Q4-1984
United States,..,Q1-1985
United States,..,Q2-1985
United States,..,Q3-1985
United States,..,Q4-1985
United States,..,Q1-1986
United States,..,Q2-1986
United States,..,Q3-1986
United States,..,Q4-1986
United States,..,Q1-1987
United States,..,Q2-1987
United States,..,Q3-1987
United States,..,Q4-1987
United States,..,Q1-1988
United States,..,Q2-1988
United States,..,Q3-1988
United States,..,Q4-1988
United States,..,Q1-1989
United States,..,Q2-1989
United States,..,Q3-1989
United States,..,Q4-1989
United States,..,Q1-1990
United States,..,Q2-1990
United States,..,Q3-1990
United States,..,Q4-1990
United States,..,Q1-1991
United States,..,Q2-1991
United States,..,Q3-1991
United States,..,Q4-1991
United States,..,Q1-1992
United States,..,Q2-1992
United States,..,Q3-1992
United States,..,Q4-1992
United States,..,Q1-1993
United States,..,Q2-1993
United States,..,Q3-1993
United States,..,Q4-1993
United States,..,Q1-1994
United States,..,Q2-1994
United States,..,Q3-1994
United States,..,Q4-1994
United States,..,Q1-1995
United States,..,Q2-1995
United States,..,Q3-1995
United States,..,Q4-1995
United States,89.0710372924805,Q1-1996
United States,89.0710372924805,Q2-1996
United States,89.0710372924805,Q3-1996
United States,89.0710372924805,Q4-1996
United States,..,Q1-1997
United States,..,Q2-1997
United States,..,Q3-1997
United States,..,Q4-1997
United States,91.2568283081055,Q1-1998
United States,91.2568283081055,Q2-1998
United States,91.2568283081055,Q3-1998
United States,91.2568283081055,Q4-1998
United States,..,Q1-1999
United States,..,Q2-1999
United States,..,Q3-1999
United States,..,Q4-1999
United States,91.8032760620117,Q1-2000
United States,91.8032760620117,Q2-2000
United States,91.8032760620117,Q3-2000
United States,91.8032760620117,Q4-2000
United States,..,Q1-2001
United States,..,Q2-2001
United States,..,Q3-2001
United States,..,Q4-2001
United States,89.7297286987305,Q1-2002
United States,89.7297286987305,Q2-2002
United States,89.7297286987305,Q3-2002
United States,89.7297286987305,Q4-2002
United States,89.7297286987305,Q1-2003
United States,89.7297286987305,Q2-2003
United States,89.7297286987305,Q3-2003
United States,89.7297286987305,Q4-2003
United States,92.0398025512695,Q1-2004
United States,92.0398025512695,Q2-2004
United States,92.0398025512695,Q3-2004
United States,92.0398025512695,Q4-2004
United States,90.1960754394531,Q1-2005
United States,90.1960754394531,Q2-2005
United States,90.1960754394531,Q3-2005
United States,90.1960754394531,Q4-2005
United States,90.7317047119141,Q1-2006
United States,90.7317047119141,Q2-2006
United States,90.7317047119141,Q3-2006
United States,90.7317047119141,Q4-2006
United States,93.2038803100586,Q1-2007
United States,93.2038803100586,Q2-2007
United States,93.2038803100586,Q3-2007
