quarter,producer_price
Q1-1913,12.033333333333333
Q2-1913,11.933333333333332
Q3-1913,12.066666666666668
Q4-1913,12.066666666666668
Q1-1914,11.766666666666666
Q2-1914,11.633333333333333
Q3-1914,11.9
Q4-1914,11.666666666666666
Q1-1915,11.800000000000002
Q2-1915,11.833333333333334
Q3-1915,11.833333333333334
Q4-1915,12.4
Q1-1916,13.566666666666668
Q2-1916,14.200000000000001
Q3-1916,14.700000000000001
Q4-1916,16.533333333333335
Q1-1917,18.033333333333335
Q2-1917,20.5
Q3-1917,21.333333333333332
Q4-1917,21.166666666666668
Q1-1918,21.5
Q2-1918,22.133333333333336
Q3-1918,23.2
Q4-1918,23.5
Q1-1919,22.733333333333334
Q2-1919,23.2
Q3-1919,24.5
Q4-1919,25.099999999999998
Q1-1920,27.2
Q2-1920,28.666666666666668
Q3-1920,27.733333333333334
Q4-1920,22.900000000000002
Q1-1921,18.46666666666667
Q2-1921,16.566666666666666
Q3-1921,16.1
Q4-1921,16.133333333333333
Q1-1922,15.9
Q2-1922,16.433333333333334
Q3-1922,17.066666666666666
Q4-1922,17.266666666666666
Q1-1923,17.8
Q2-1923,17.566666666666666
Q3-1923,17.03333333333333
Q4-1923,17.0
Q1-1924,17.133333333333333
Q2-1924,16.53333333333333
Q3-1924,16.633333333333333
Q4-1924,17.166666666666668
Q1-1925,17.833333333333332
Q2-1925,17.566666666666666
Q3-1925,17.900000000000002
Q4-1925,17.866666666666667
Q1-1926,17.566666666666666
Q2-1926,17.3
Q3-1926,17.133333333333336
Q4-1926,17.0
Q1-1927,16.5
Q2-1927,16.233333333333334
Q3-1927,16.400000000000002
Q4-1927,16.633333333333336
Q1-1928,16.533333333333335
Q2-1928,16.733333333333334
Q3-1928,16.866666666666667
Q4-1928,16.566666666666666
Q1-1929,16.5
Q2-1929,16.400000000000002
Q3-1929,16.6
Q4-1929,16.2
Q1-1930,15.700000000000001
Q2-1930,15.266666666666666
Q3-1930,14.5
Q4-1930,14.0
Q1-1931,13.266666666666666
Q2-1931,12.633333333333333
Q3-1931,12.366666666666667
Q4-1931,12.0
Q1-1932,11.466666666666667
Q2-1932,11.133333333333333
Q3-1932,11.200000000000001
Q4-1932,10.966666666666667
Q1-1933,10.4
Q2-1933,10.799999999999999
Q3-1933,12.033333333333333
Q4-1933,12.266666666666666
Q1-1934,12.6
Q2-1934,12.766666666666666
Q3-1934,13.166666666666666
Q4-1934,13.233333333333334
Q1-1935,13.666666666666666
Q2-1935,13.800000000000002
Q3-1935,13.833333333333334
Q4-1935,13.933333333333332
Q1-1936,13.833333333333334
Q2-1936,13.633333333333333
Q3-1936,13.966666666666667
Q4-1936,14.233333333333334
Q1-1937,14.933333333333332
Q2-1937,15.1
Q3-1937,15.133333333333333
Q4-1937,14.4
Q1-1938,13.833333333333334
Q2-1938,13.5
Q3-1938,13.5
Q4-1938,13.366666666666667
Q1-1939,13.266666666666666
Q2-1939,13.066666666666668
Q3-1939,13.166666666666666
Q4-1939,13.666666666666666
Q1-1940,13.6
Q2-1940,13.466666666666667
Q3-1940,13.4
Q4-1940,13.700000000000001
Q1-1941,13.933333333333332
Q2-1941,14.666666666666666
Q3-1941,15.566666666666668
Q4-1941,16.0
Q1-1942,16.666666666666668
Q2-1942,17.0
Q3-1942,17.099999999999998
Q4-1942,17.3
Q1-1943,17.666666666666668
Q2-1943,17.9
Q3-1943,17.8
Q4-1943,17.766666666666666
Q1-1944,17.833333333333332
Q2-1944,17.933333333333334
Q3-1944,17.9
Q4-1944,17.966666666666665
Q1-1945,18.1
Q2-1945,18.266666666666666
Q3-1945,18.2
Q4-1945,18.333333333333332
Q1-1946,18.566666666666666
Q2-1946,19.166666666666668
Q3-1946,21.7
Q4-1946,23.833333333333332
Q1-1947,24.833333333333332
Q2-1947,25.03333333333333
Q3-1947,25.666666666666668
Q4-1947,26.766666666666666
Q1-1948,27.366666666666664
Q2-1948,27.53333333333333
Q3-1948,28.099999999999998
Q4-1948,27.733333333333334
Q1-1949,26.96666666666667
Q2-1949,26.266666666666666
Q3-1949,26.03333333333333
Q4-1949,25.96666666666667
Q1-1950,26.03333333333333
Q2-1950,26.366666666666664
Q3-1950,27.866666666666664
Q4-1950,29.099999999999998
Q1-1951,30.766666666666666
Q2-1951,30.666666666666668
Q3-1951,30.166666666666668
Q4-1951,30.100000000000005
Q1-1952,29.866666666666664
Q2-1952,29.566666666666666
Q3-1952,29.666666666666668
Q4-1952,29.3
Q1-1953,29.133333333333336
Q2-1953,29.03333333333333
Q3-1953,29.366666666666664
Q4-1953,29.166666666666668
Q1-1954,29.333333333333332
Q2-1954,29.333333333333332
Q3-1954,29.266666666666666
Q4-1954,29.099999999999998
Q1-1955,29.233333333333334
Q2-1955,29.233333333333334
Q3-1955,29.433333333333334
Q4-1955,29.53333333333333
Q1-1956,29.8
Q2-1956,30.233333333333334
Q3-1956,30.400000000000002
Q4-1956,30.7
Q1-1957,31.0
Q2-1957,31.066666666666666
Q3-1957,31.333333333333332
Q4-1957,31.3
Q1-1958,31.566666666666666
Q2-1958,31.633333333333336
Q3-1958,31.600000000000005
Q4-1958,31.566666666666666
Q1-1959,31.7
Q2-1959,31.766666666666666
Q3-1959,31.666666666666668
Q4-1959,31.53333333333333
Q1-1960,31.666666666666668
Q2-1960,31.733333333333334
Q3-1960,31.633333333333336
Q4-1960,31.7
Q1-1961,31.8
Q2-1961,31.46666666666667
Q3-1961,31.5
Q4-1961,31.53333333333333
Q1-1962,31.7
Q2-1962,31.53333333333333
Q3-1962,31.7
Q4-1962,31.666666666666668
Q1-1963,31.53333333333333
Q2-1963,31.5
Q3-1963,31.633333333333336
Q4-1963,31.633333333333336
Q1-1964,31.666666666666668
Q2-1964,31.53333333333333
Q3-1964,31.633333333333336
Q4-1964,31.7
Q1-1965,31.866666666666664
Q2-1965,32.166666666666664
Q3-1965,32.4
Q4-1965,32.63333333333333
Q1-1966,33.1
Q2-1966,33.233333333333334
Q3-1966,33.56666666666667
Q4-1966,33.333333333333336
Q1-1967,33.36666666666667
Q2-1967,33.300000000000004
Q3-1967,33.43333333333333
Q4-1967,33.5
Q1-1968,33.96666666666667
Q2-1968,34.166666666666664
Q3-1968,34.300000000000004
Q4-1968,34.5
Q1-1969,35.0
Q2-1969,35.5
Q3-1969,35.766666666666666
Q4-1969,36.1
Q1-1970,36.63333333333333
Q2-1970,36.833333333333336
Q3-1970,37.03333333333333
Q4-1970,37.1
Q1-1971,37.6
