Country Name,Value,quarter
United States,11.8376203613283,Q1-1974
United States,11.8376203613283,Q2-1974
United States,11.8376203613283,Q3-1974
United States,11.8376203613283,Q4-1974
United States,11.1858004966455,Q1-1975
United States,11.1858004966455,Q2-1975
United States,11.1858004966455,Q3-1975
United States,11.1858004966455,Q4-1975
United States,10.7488368815829,Q1-1976
United States,10.7488368815829,Q2-1976
United States,10.7488368815829,Q3-1976
United States,10.7488368815829,Q4-1976
United States,11.6186463229876,Q1-1977
United States,11.6186463229876,Q2-1977
United States,11.6186463229876,Q3-1977
United States,11.6186463229876,Q4-1977
United States,11.5423590501612,Q1-1978
United States,11.5423590501612,Q2-1978
United States,11.5423590501612,Q3-1978
United States,11.5423590501612,Q4-1978
United States,12.0038076635128,Q1-1979
United States,12.0038076635128,Q2-1979
United States,12.0038076635128,Q3-1979
United States,12.0038076635128,Q4-1979
United States,12.1383526516402,Q1-1980
United States,12.1383526516402,Q2-1980
United States,12.1383526516402,Q3-1980
United States,12.1383526516402,Q4-1980
United States,12.5505099560623,Q1-1981
United States,12.5505099560623,Q2-1981
United States,12.5505099560623,Q3-1981
United States,12.5505099560623,Q4-1981
United States,11.9786266418126,Q1-1982
United States,11.9786266418126,Q2-1982
United States,11.9786266418126,Q3-1982
United States,11.9786266418126,Q4-1982
United States,10.3482682349497,Q1-1983
United States,10.3482682349497,Q2-1983
United States,10.3482682349497,Q3-1983
United States,10.3482682349497,Q4-1983
United States,10.1597156537786,Q1-1984
United States,10.1597156537786,Q2-1984
United States,10.1597156537786,Q3-1984
United States,10.1597156537786,Q4-1984
United States,10.3842401634117,Q1-1985
United States,10.3842401634117,Q2-1985
United States,10.3842401634117,Q3-1985
United States,10.3842401634117,Q4-1985
United States,10.1630458873215,Q1-1986
United States,10.1630458873215,Q2-1986
United States,10.1630458873215,Q3-1986
United States,10.1630458873215,Q4-1986
United States,10.9488457256785,Q1-1987
United States,10.9488457256785,Q2-1987
United States,10.9488457256785,Q3-1987
United States,10.9488457256785,Q4-1987
United States,10.5959432728889,Q1-1988
United States,10.5959432728889,Q2-1988
United States,10.5959432728889,Q3-1988
United States,10.5959432728889,Q4-1988
United States,10.7824403801772,Q1-1989
United States,10.7824403801772,Q2-1989
United States,10.7824403801772,Q3-1989
United States,10.7824403801772,Q4-1989
United States,10.4652847558268,Q1-1990
United States,10.4652847558268,Q2-1990
United States,10.4652847558268,Q3-1990
United States,10.4652847558268,Q4-1990
United States,10.3203424286825,Q1-1991
United States,10.3203424286825,Q2-1991
United States,10.3203424286825,Q3-1991
United States,10.3203424286825,Q4-1991
United States,9.98416183728209,Q1-1992
United States,9.98416183728209,Q2-1992
United States,9.98416183728209,Q3-1992
United States,9.98416183728209,Q4-1992
United States,10.3049343163775,Q1-1993
United States,10.3049343163775,Q2-1993
United States,10.3049343163775,Q3-1993
United States,10.3049343163775,Q4-1993
United States,10.6235066354376,Q1-1994
United States,10.6235066354376,Q2-1994
United States,10.6235066354376,Q3-1994
United States,10.6235066354376,Q4-1994
United States,10.980989035111,Q1-1995
United States,10.980989035111,Q2-1995
United States,10.980989035111,Q3-1995
United States,10.980989035111,Q4-1995
United States,11.373914577285,Q1-1996
United States,11.373914577285,Q2-1996
United States,11.373914577285,Q3-1996
United States,11.373914577285,Q4-1996
United States,11.8281999339672,Q1-1997
