Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Afghanistan,AFG,39.276429270146,47.3575747311828,57.2475,61.1434615416667,67.8660857692308,68.0269040822312,72.083247177304,77.7379491783367,76.8135364354897,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Albania,ALB,..,143.709416666667,105.48,125.961666666667,124.1425,119.1,107.989166666667,109.850833333333,108.65,103.52,113.041666666667,100.645
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Algeria,DZA,8.95750833333333,75.2597916666666,80.5790166666667,100.691433333333,109.443066666667,110.973016666667,116.593791666667,119.353558333333,126.7768,135.064058333333,141.994975,135.842933333333
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Andorra,AND,..,..,..,..,..,..,..,..,..,0.845376564367945,0.950915533962108,0.924709622987356
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Angola,AGO,2.9918E-08,10.0405441666667,98.3024168556335,120.060701665019,163.656434116579,165.915950691498,252.855747731297,364.825804980887,578.25878028011,631.441955506727,460.567511631462,685.020237761449
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Antigua and Barbuda,ATG,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Argentina,ARG,0.487589083333333,0.9995,8.07527599281334,9.23318552472429,14.7581750873396,16.5627069251411,28.0949916666667,48.1478916666667,70.5391666666667,94.9907416666667,130.61655,296.258041666667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Armenia,ARM,..,539.525833333333,415.919789204938,477.918306576099,480.488150777966,482.716393849129,482.987946590235,480.44512876712,489.008858590915,503.769674961652,435.6661796523,392.476302158971
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Aruba,ABW,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Australia,AUS,1.28105666666667,1.72482666666667,1.10936329281692,1.33109026245502,1.34521397601947,1.30475807671592,1.33841214646451,1.43850654421382,1.45308511847016,1.33122425957081,1.44166445896522,1.50519106560509
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Austria,AUT,11.3698333333333,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Azerbaijan,AZE,..,0.89483075,0.7843475,1.02456381855059,1.59572157270424,1.72115480222734,1.70001666666667,1.7,1.7,1.7,1.7,1.7
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Bahamas, The",BHS,1,1,1,1,1,1,1,1,1,1,1,1
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bahrain,BHR,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bangladesh,BGD,34.5688083333333,52.1416666666667,77.6414083333333,77.9469083333333,78.4680916666667,80.4375416666667,83.4662019166666,84.4535225,84.8713916666667,85.08376325,91.7454544396961,106.309484297483
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Barbados,BRB,2,2,2,2,2,2,2,2,2,2,2,2
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belarus,BLR,..,0.087675,1.02241025,1.59259883333333,1.98956283333333,1.93234166666667,2.03760833333333,2.09178333333333,2.439575,2.538675,2.6261,3.00735
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belgium,BEL,33.4179166666667,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belize,BLZ,2,2,2,2,2,2,2,2,2,2,2,2
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Benin,BEN,272.264787954393,710.207977031373,493.757329875319,591.21169798261,592.605615063006,580.656749587853,555.446458398235,585.950813757166,574.294549649056,554.607798864163,622.912348249567,606.654982255763
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bermuda,BMU,1,1,1,1,1,1,1,1,1,1,1,1
