Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Afghanistan,AFG,..,..,..,..,..,..,..,..,-352320000000,-231620000000,-347833000000,-370385228300
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Albania,ALB,..,..,-236546904800,-215085503400,-212949993900,-209791207000,-206912759300,-212442977583.186,-211469250275.701,-206654178437.848,-199021881749.735,-137859907450.36
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Algeria,DZA,..,..,-1119532027384.93,-1291741345945,-1105360898462.4,-976846960936.93,-928619838402.58,-842056417681.63,-654519817668.8,-429845165851.18,-427625027363.7,-701237624867.59
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,American Samoa,ASM,..,..,-250000000,-240000000,-221000000,-251000000,-191000000,-180000000,-256000000,-349000000,-249000000,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Angola,AGO,..,..,174871779700,199914234200,189693123300,278186067700,286307259100,258923356000,271591283200,240152018300,210042094300,198300944000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Argentina,ARG,..,..,-29332670500,-41125203000,-44205385900,-69553879900,-58990778100,-6139524600,-5449186899.99998,-19922121000,-42573271000,-57294643700
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Armenia,ARM,..,..,-650434050700,-276445474900,-80058592600,-191387524200,-388041278500,-337760046700,-281611569900,-222710848700,192714790000,266756137000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Australia,AUS,..,..,..,..,..,..,..,..,..,..,131487000000,112285000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Austria,AUT,-4491502000,1486150000,13175496000,12569664000,11695915000,11635838000,12321398000,16104278000,12587116000,5400146000,11946988000,21110502000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,"Bahamas, The",BHS,..,..,..,..,..,..,-570760000,-301400000,-1037970000,-1198020000,228130000,-21620000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Bahrain,BHR,..,..,1603430000,1999320000,1975970000,1745500000,1596910000,2127790000,1919690000,3667460000,3743630000,2162540000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Bangladesh,BGD,..,..,..,..,-724823000000,-964756000000,-1701396000000,-1380402000000,-1427290000000,-1813285000000,-2432829000000,-1498837000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Belarus,BLR,..,..,..,..,..,..,1854800000,-1617100000,1635500000,5335800000,1695100000,-744000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Belgium,BEL,-743957000,2166566000,4329523000,2853900000,-2195092000,-1788438000,-4705161000,564323000,3430007000,10355721000,10724366000,8606894000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Belize,BLZ,..,..,165000000,-98000000,-288000000,-274000000,-76000000,-80000000,-223000000,-233000000,-165000000,186413400
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Benin,BEN,..,..,..,-492533000000,-339403000000,-526334910000,-548542491800,-456377137200,-485257584800,-640115472300,-748034472100,-870494245500
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Bermuda,BMU,..,..,1481774300,1646420100,1786625200,1478475100,1588276800,1454600000,1520700000,1521000000,1690000000,1896900000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Bhutan,BTN,..,..,..,..,..,-33574457116.815,-34702403637.1176,-19333839705.2287,-24029120163.3391,-30047092364.7991,-48047904728.8699,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Bolivia,BOL,-177489244,-895143000,-1228917292.7193,-1234404107.8449,-1383298000,-2772772217.9587,-2441548998.7159,-2894383969.2379,-1419885106.45231,-1670107713.1494,-1098095112.2687,-1899571230.8549
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Botswana,BWA,..,..,..,..,14399779400,19261806200,18902903600,1724528400,-18564939500,1682361900,7419626700,1285400000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Brazil,BRA,..,..,-86888285400,19294705800,70770471800,66821764500,53366026300.0001,33619196000,67218162600,29595372500,54892986000,66459713400
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Brunei Darussalam,BRN,..,..,4210800224.33552,3715307408.80709,4113506935.06572,3622126922.84061,2458617653.70546,2911939988.91032,3985953468.88944,2695862993.9416,2403123255.417,3036916452.9889
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Bulgaria,BGR,..,..,..,7873318000,10499221000,10212702000,8019470000,7449477000.00001,3056347000.00001,3985699000,2098384000,6643287000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Burkina Faso,BFA,..,..,..,-480850000000,-601982000000,-692093940400,-614709452700,-710667742600,-478441555700,-358389701400,-813073034200,-1327188194900
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Burundi,BDI,..,..,-491058184300,-498498773200,-419168001200,-447206873300,-546666776600,-675495217000,-734953950100,-758237522500,-813701411700,-869488251400
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Cabo Verde,CPV,..,..,..,-20413797000,-26990735000,-33373081000,-36386245800,-31899047100,-57078434500,-64012021000,-48506392300,-42171261400
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Cambodia,KHM,..,-1760013811000,-9963423420000,-10548635433900,-10873623387200,-11229985140400,-12628303566000,-12675126109000,-14615941651800,-12038049867800,-12323310433600,-10511731029800
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Cameroon,CMR,..,..,..,..,-548791000000,-556010000000,-840094047200,-940582308200,-665941605400,-1090070239900,-1237600000000,-1338000000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Canada,CAN,17854562000,104469272000,-64752321000,-49064000000,-39750787000,-62828482000,-64527752000,-48256137000,-40692567000,-78068727000,-112747147000,-83308423000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Central African Republic,CAF,..,..,2523000000,..,..,..,..,..,..,..,..,-115152479100
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Chad,TCD,..,..,-747074500000,278612000000,391692000000,441214000000,536707924700,602920045500,597533534500,496255676800,578515351100,341250935500
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Chile,CHL,..,..,..,..,..,..,-2119702578000,-2522902425900,3799968766800,-12431670431200,-13015445952400,-5397574673800
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Colombia,COL,..,..,..,-56814000000000,-50606000000000,-49173000000000,-58683000000000,-68519000000000,-57917000000000,-85939000000000,-119678000000000,-77142000000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Comoros,COM,..,..,-72499952500,-71766665800,-73812699100,-81287881600,-87330618400,-91588845500,-108008217800,-101429809900,-91036435400,-89627078700
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,"Congo, Dem. Rep.",COD,..,..,-2216800308400,-1765938196100,-1607167053600,-3169836534000,-4157498610400,-2907021469400,-3408312286000,-6319875651100,-8153488486400,-18761553888200
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,"Congo, Rep.",COG,..,..,141540000000,-602990000000,-187060000000,1071533000000,1647670000000,1713521000000,1952916000000,1679719000000,1586566000000,1500130000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Costa Rica,CRI,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Cote d'Ivoire,CIV,..,..,..,540000000000,475000000000,1330603497000,688938115400,1204935792800,-93442592100,9484791400,-870028173200,-1242342955800
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Croatia,HRV,..,..,..,..,..,..,..,..,..,-1603966300,-1885490600,-916027500
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Cuba,CUB,..,466300000,3870000000,2827000000,1252000000,1412000000,1310000000,1118000000,-323000000,-680000000,-106000000,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Cyprus,CYP,..,..,202986000,315925000,-11209000,-443884000,-42550000,-170017000,-451315000,607688000,146156000,-285259000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Czechia,CZE,36662321000,7000147000,283684835000,279422000000,345013288000,407357077000,346364024000,351723109000,318957153000,142343946000,116391649000,279191203000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Denmark,DNK,106105690000,167826161000,135540118000,131928479000,130509184000,141828316000,121591197000,142663956000,105041834000,106569498000,149290132000,252178135000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Djibouti,DJI,..,..,69642609500,..,..,..,..,..,..,..,..,55697217800
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,..,-274106694500
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Ecuador,ECU,..,..,..,..,..,..,-990534000,-17483000,3802932777.7112,1534194273.40219,810391229.979698,1771413060.7309
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,-534000000000,-182131079265.64
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,El Salvador,SLV,..,..,-4292460000,..,..,..,..,..,..,..,..,-4663866730
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Equatorial Guinea,GNQ,..,..,2133200187300,2258812000000,2236460332200,1902718000000,1529730000000,1268855000000,1459689990500,1357556415300,1347974881500,896673623800
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Estonia,EST,..,648290000,659922000,748358000,596773000,837479000,261563000,517219000,-418874000,-622383000,-653821000,-1140110000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Finland,FIN,-6195000000,7558000000,569000000,-838000000,-1992000000,1598000000,-1827000000,2016000000,-318000000,-693000000,-4475000000,2167000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,France,FRA,-5162849000,42180263000,5714062000,-2591000000,-14470245000,-15451629000,-11427169000,-10549907000,-43406862000,-26866096000,-33487127000,-19726854000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Gabon,GAB,..,..,-729531161300,-237317882100,-146233057900,114719165700,-988559085100,-1510585276800,-987901770773.67,-1293383524576.72,-1443276139710.47,-1535447697500
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,"Gambia, The",GMB,..,..,-5767875200,-6998656000,-7835976300,-10592967500,-10992918100,-11827619200,-21506955600,-18994534100,-18143878400,-17829944200
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Georgia,GEO,..,..,..,..,..,..,..,-4575519700,-9459462400,-7804699700,-4860234300,-5480481783.50541
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Germany,DEU,14384456000,20634587000,222793100000,228879000000,214395417000,223891128000,200078852000,184076232000,149137711000,175724012000,130882990000,134939837000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Ghana,GHA,..,..,-6262064100,-3717930300,-2206145400,3743607200,4706674000,3876898800,1272436500,-2093312400,-2703226800,-2003109900
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Greece,GRC,-7683156000,-16000744000,1945000,-1576593000,-3035280000,-2545803000,-2156783000,-872605000,-10735606000,-8767148000,-12696976000,-12090282000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Greenland,GRL,..,..,-1847700000,-2520400000,-2591000000,-2515900000,-2511800000,-4062500000,-3811000000,-4301500000,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Guam,GUM,..,..,-2262000000,-2158000000,-2068000000,-1958000000,-2041000000,-2118000000,-3036000000,-3279000000,-3301000000,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Guinea-Bissau,GNB,..,..,..,-29139000000,-48111000000,-57977901100,-13466000000,-103529000000,-96791000000,-73513000000,-126746000000,-119312000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Honduras,HND,..,-13276100000,-14388600000,-21502200000,-18485900000,-22330100000,-26975100000,-23686000000,-23507700000,-40008000000,-45606400000,-39159600000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,152483000000,114940000000,43371000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Hungary,HUN,..,-757494000000,2103014000000,2703670000000,2899569000000,2532737000000,2039725000000,1219341000000,313791000000,668273000000,961941000000,3127311000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Iceland,ISL,-37766258000,-206947212000,196670755000,172972387000,154645040000,83537967000,101284933000,144331811000,-18413158000,-69213829000,-60401867000,35525212000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,India,IND,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Indonesia,IDN,..,..,60773181514700,141528034124500,153049475669600,181745348025200,83124952798900,229244056217800,397938058280900,353731992861900,437222683452200,514886205894510
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,"Iran, Islamic Rep.",IRN,..,..,..,..,278894035000000,105822598434700,898773226147300,950810698594400,1.077483139358E+15,937407865523800,1.0225025046536E+15,1.393598E+15
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Iraq,IRQ,..,..,22136381540600,59430581879300,70172315592100,64801949051200,64196129923800,54696019954300,58511474096700,38129148466400,29456313952100,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Ireland,IRL,7899000,12852725000,48242462000,80792070000,52894050000,79870272000,106050387000,24500343000,87505295000,198445572000,215140534000,170440020000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Israel,ISR,-4211777000,6012338000,43794195000,36915073000,11747370000,13307474000,7361391000,3575993000,26969618000,6833959000,-9743299000,19847617000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Italy,ITA,-10326805000,12781550000,54874222000,47445600000,41610607000,41804370000,38686668000,50804092000,37823142000,35156204000,21724834000,28496264000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Jamaica,JAM,..,..,-119379000000,-98199000000,-89138000000,-96452000000,-95279000000,-101139000000,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Japan,JPN,-11696100000000,-10791500000000,-5475000000000,-2980100000000,-324200000000,2822800000000,2875600000000,323500000000,-4732200000000,1207800000000,-1372200000000,3406300000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Kenya,KEN,..,..,..,..,-635284000000,-849420700000,-808434300000,-876539000000,-850489000000,-1099405000000,-1075611000000,-1058459000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Kiribati,KIR,..,..,..,..,..,..,..,-213341876.229464,-181746331.662243,-244930955.96868,-305315038.882294,-309792907.743561
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,"Korea, Rep.",KOR,..,..,..,113518500000000,99418200000000,61694300000000,79673800000000,94851200000000,102962400000000,121014600000000,124352700000000,128126400000000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Kuwait,KWT,..,..,13439522000,12322815000,12384470000,9777008504.4723,9452019681.3625,10205824497.9487,12991795199.8307,12099819947.6941,11704763583.2866,..
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,-179706000000,-130148000000,-216496007500,-374918153300,-617783947000
External balance on goods and services (constant LCU),NE.RSB.GNFS.KN,Lao PDR,LAO,..,..,-17706175041000,..,..,..,..,..,..,..,..,..
