Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Albania,ALB,..,..,1023040800000,1145500940000,1188814490000,1176765132200,1056842548211.89,1280745319000,1381988650000,1529181608735.44,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Armenia,ARM,..,..,..,..,..,..,..,3273520556966.98,3919401297115.88,4200685256434.96,3957579639220.35,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Australia,AUS,49485000000,195640000000,667279000000,754945000000,906514000000,937119000000,1003971000000,1172794000000,1373720000000,1460303000000,1352679000000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Austria,AUT,..,138288370000,319152700000,327345870000,338635550000,330229490000,324460470000,330108630000,380533860000,383515120000,335642100000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Azerbaijan,AZE,..,..,..,..,..,..,..,..,16105080000,15679040000,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"Bahamas, The",BHS,773100000,1514500000,5160171000,5637362000,5964766000,6550127000,7243195000,7527058000,8191220004.29022,9935319415.63292,10792807646.4925,..
