Country,S&P Rating
Australia,AAA
Canada,AAA
Denmark,AAA
Germany,AAA
Liechtenstein,AAA
Luxembourg,AAA
Netherlands,AAA
Switzerland,AAA
Norway,AAA
Sweden,AAA
European Union,AA
Singapore,AAA
United States,AA+
Austria,AA+ 
Finland,AA+
New Zealand,AA+
France,AA-
Taiwan,AA+
United Arab Emirates,AA
Hong Kong,AA+
Ireland,AA 
Qatar,AA
Belgium,AA
Isle of Man,N/A
Macau,
United Kingdom,AA
South Korea,AA
Cayman Islands,
Czech Republic,AA-
Kuwait,A+
Estonia,NR
Bermuda,A+
China,A+
Saudi Arabia,A 
Japan,A+
Iceland,A+
Lithuania,A
Slovenia,AA- 
Malta,A-
Slovakia,A+
Chile,A
Israel,A 
Latvia,A
Poland,A-
Portugal,A- 
Spain,A- 
Malaysia,A-
Botswana,BBB+
Andorra,A- 
Croatia,A- 
Cyprus,A-
Thailand,BBB+
Italy,BBB
Bulgaria,BBB 
Philippines,BBB+ 
Uruguay,BBB+
Indonesia,BBB
Peru,BBB-
Hungary,BBB-
Kazakhstan,BBB-
Mexico,BBB
India,BBB- 
Aruba,BBB 
Colombia,BB+ 
Mauritius,BBB-
Montserrat,BBB-
Romania,BBB-
Panama,BBB-
Greece,BBB- 
Oman,BBB-
Paraguay,BB+ 
Azerbaijan,BB+
Morocco,BB+ 
San Marino,BBB-
Trinidad and Tobago,BBB-
Serbia,BBB-
Guatemala,BB 
Vietnam,BB+
Brazil,BB
Georgia,BB
Macedonia,BB-
Costa Rica,BB- 
Dominican Republic,BB
Ivory Coast,BB
South Africa,BB- 
Seychelles,
Uzbekistan,BB-
Armenia,BB-
Jamaica,BB- 
Jordan,BB-
Albania,BB-
Bahamas,B+
Honduras,BB- 
Namibia,
Benin,BB- 
Turkey,BB-
Bangladesh,B+
Fiji,B+
Montenegro,B+
Senegal,B+ 
Turkmenistan,
Bahrain,B+
Rwanda,B+
Tanzania,
Mongolia,B+ 
Cambodia,N/A
Lesotho,
Nicaragua,B+
Zambia,SD
Barbados,B 
Uganda,B-
Bosnia and Herzegovina,B+
Cape Verde,B
Kyrgyzstan,NR
Papua New Guinea,B-
Tajikistan,B
Togo,B 
Angola,B-
Chad,B-
Kenya,B-
Madagascar,B-
Moldova,
Solomon Islands,
St Vincent and the Grenadines,
Swaziland,
Cameroon,B-
Egypt,B- 
Gabon,N/A
Iraq,B-
Nigeria,B-
Congo,B-
Maldives,
El Salvador,B-
Tunisia,N/A
Belize,B-
Bolivia,CCC+ 
Burkina Faso,CCC+
Ecuador,B- 
Mozambique,CCC+
Republic of the Congo,CCC+
Pakistan,CCC+
Suriname,CCC+
Ethiopia,SD
Laos,
Mali,
Niger,
Russia,NR
Argentina,CCC
Belarus,NR
Ghana,SD
Sri Lanka,SD
Ukraine,SD
Venezuela,N/A
Lebanon,D
Cuba,
Puerto Rico,D 
Grenada,SD 
Kosovo,
Nepal,
