Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Afghanistan,AFG,637925667.368511,..,7528549879.63682,6976966153.82054,7281910524.1067,8097280955.90196,8206682106.31946,8497655795.34729,9748946326.71795,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Albania,ALB,..,646305676.491804,2665215805.2185,3138517990.16501,3108607051.81759,3588583656.8278,3893560031.06681,3763661058.67744,4817386149.20461,5634561133.54085,5266463583.50313,6455445543.45668
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Algeria,DZA,2703474408.40137,13556106802.2149,186350590140.833,150595236894.628,120788088861.403,104852543743.412,87382910154.0942,71795950714.9485,59434389109.5108,56211005199.3665,71852290093.8578,81216738411.6242
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Angola,AGO,..,1198212373.02401,27032344084.4907,23790543425.2351,23672191989.4347,17455327770.6619,15410405365.47,16334853784.0603,13781988139.5961,14468113825.809,13654715740.4529,13942114198.8828
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Antigua and Barbuda,ATG,27500000,63558884.5284907,297046137.541925,355728253.383608,330090979.265027,313645370.808951,328659747.502549,279133212.713698,221808945.85044,367511735.686638,396505745.512243,364367020.196401
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Argentina,ARG,6222040362.99099,25152117244.4134,31410813269.5239,25520565580.4894,38414518491.6132,55314409205.2189,66221501691.4418,44880566052.3703,39403734630.1228,39653498610.7828,44795335171.5152,23080560550.2946
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Armenia,ARM,..,314200332.802208,1489443370.96658,1775293493.7543,2204113991.25512,2314113951.27386,2259321868.53197,2849645182.4783,2615530571.20173,3229848044.69344,4111690218.3518,3607482711.24985
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Aruba,ABW,136430000,235455000,680351000,815800560,922550890,907111452.513966,980247680,982300000,1212578720,1512960280,1543940590,1468151730
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Australia,AUS,19318743724.0756,18821546023.5147,53910325023.2378,45406035070.596,52480791522.7773,65653718118.1818,53909533420.3007,57994685703.4779,42544629264.9892,57877502314.3513,56701901829.6459,61703347652.0138
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Austria,AUT,17227717542.1462,17649557521.9085,25001493235.2233,22239731667.636,23255493380.5846,21565331649.2621,23190665221.0656,23616397437.8114,30439562425.1269,33957000220.5267,33077693776.3888,31212271321.99
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Azerbaijan,AZE,..,679605504.08201,15603217172.1229,7070555994.33957,6698545432.89916,7026285830.44112,6696420864.42018,7069418581.86676,7775084753.01305,8290112834.95499,11338378376.1944,13748751031.513
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Bahamas, The",BHS,158165375.368113,349644583.160698,874337064.77897,895475136.251959,1001933945.18353,1413972940.85571,1345344674.14449,1757782753.50028,2382077961.01193,2432716261.37975,2609421074.79741,2511681591.43478
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Bahrain,BHR,1292613497.46056,1605306697.72147,6229406002.51976,3546207932.19981,2611989314.00794,2823123079.34137,2334278370.00967,3902650742.43905,2523073657.45375,4993195962.86458,4774898054.78218,5117552034.50774
