Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Afghanistan,AFG,..,7.955,7.915,9.011,10.1,11.184,11.206,11.224,11.71,11.934,14.1,14.386
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Albania,ALB,..,19.023,18.055,17.193,15.418,13.616,12.304,11.466,12.79,12.473,11.588,11.584
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Algeria,DZA,..,29.77,10.207,11.206,10.202,12,12.15,12.285,14.04,13.607,12.437,11.814
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Angola,AGO,..,16.502,16.401,16.491,16.58,16.617,16.599,16.497,16.676,15.799,14.693,14.62
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Argentina,ARG,..,15,7.268,7.58,8.083,8.347,9.221,9.843,11.461,8.736,6.805,6.178
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Armenia,ARM,..,11.097,12.201,12.468,12.732,12.968,13.212,12.2,12.18,10.012,8.608,8.586
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Australia,AUS,..,6.288,6.078,6.055,5.711,5.592,5.3,5.159,6.456,5.116,3.701,3.667
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Austria,AUT,..,4.694,5.674,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.243
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Azerbaijan,AZE,..,11.78,4.91,4.96,5,5,4.9,5,7.24,6.04,5.65,5.636
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,"Bahamas, The",BHS,..,7.235,13.8,12,12.7,9.8,10,10.011,12.804,11.694,9.87,9.198
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Bahrain,BHR,..,1.138,1.146,1.166,1.195,1.196,1.202,1.226,1.767,1.551,1.326,1.16
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Bangladesh,BGD,..,3.27,4.406,4.382,4.35,4.372,4.532,4.693,5.828,5.815,5.247,5.06
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Barbados,BRB,..,9.35,12.17,9.803,8.247,8.622,8.322,8.413,9.756,9.417,8.493,7.954
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Belarus,BLR,..,12.171,5.911,5.881,5.844,5.648,4.763,4.165,4.049,3.9,3.574,3.574
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Belgium,BEL,..,6.586,8.523,8.482,7.83,7.086,5.948,5.36,5.555,6.264,5.558,5.508
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Belize,BLZ,..,10.808,8.244,7.578,7,6.596,7.899,9.053,10.7,10.157,8.724,8.262
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Benin,BEN,..,0.865,1.892,1.855,1.835,1.722,1.473,1.402,1.565,1.694,1.473,1.452
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Bhutan,BTN,..,1.652,2.63,2.45,2.737,3.039,3.35,2.72,5.03,4.804,5.947,5.653
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Bolivia,BOL,..,2.442,2.021,3.111,3.498,3.655,3.519,3.682,7.903,5.089,3.552,3.081
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Bosnia and Herzegovina,BIH,..,25.473,27.517,27.695,25.408,20.527,18.4,15.692,15.868,14.897,12.657,10.42
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Botswana,BWA,..,15.88,18.518,18.939,19.343,19.678,19.679,20.094,21.017,23.106,23.615,23.381
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Brazil,BRA,..,10.892,6.755,8.538,11.58,12.792,12.33,11.936,13.697,13.159,9.231,7.95
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Brunei Darussalam,BRN,..,5.532,6.862,7.694,8.521,9.316,8.7,6.6,7.409,4.905,5.191,5.27
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Bulgaria,BGR,..,16.218,11.424,9.143,7.575,6.164,5.212,4.23,5.125,5.267,4.268,4.295
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Burkina Faso,BFA,..,2.681,4.254,4.468,4.594,4.66,4.695,4.701,4.985,5.11,5.348,5.293
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Burundi,BDI,..,3.145,1.572,1.444,1.356,1.258,1.157,1.053,1.03,1.11,0.919,0.93
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Cabo Verde,CPV,..,13.116,11.67,11.905,12.075,12.24,12.17,12.118,14.66,13.906,12.272,11.994
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Cambodia,KHM,..,0.746,0.692,0.393,0.716,0.141,0.13,0.12,0.172,0.396,0.247,0.239
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Cameroon,CMR,..,7.534,3.534,3.52,3.534,3.581,3.619,3.646,3.866,3.951,3.687,3.646
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Canada,CAN,..,6.829,7.023,6.945,7.038,6.426,5.837,5.69,9.657,7.527,5.28,5.366
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Central African Republic,CAF,..,5.546,5.685,5.871,5.904,5.969,5.896,5.978,6.556,6.676,6.337,6.286
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Chad,TCD,..,0.792,0.926,0.968,1.044,1.116,1.135,1.081,1.693,1.511,1.104,1.082
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Channel Islands,CHI,..,5.357,8.285,7.901,7.442,6.865,6.324,6.17,6.611,6.609,5.91,5.982
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Chile,CHL,..,10.491,6.761,6.605,6.926,7.29,7.647,7.533,11.006,9.325,8.299,9.037
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,China,CHN,..,3.26,4.63,4.65,4.56,4.47,4.31,4.56,5,4.55,4.98,4.67
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Colombia,COL,..,20.52,8.799,8.572,8.922,9.086,9.36,10.28,15.983,13.898,10.547,9.565
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Comoros,COM,..,4.402,4.88,4.972,5.042,5.04,5.018,5.1,5.884,5.857,5.854,5.795
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,"Congo, Dem. Rep.",COD,..,3.224,4.446,4.456,4.548,4.637,4.661,4.642,5.369,5.273,4.585,4.544
