Country,S&P Rating,Country Name,country_code,unemployment_2000,unemployment_2014,unemployment_2015,unemployment_2016,unemployment_2017,unemployment_2018,unemployment_2019,unemployment_2020,unemployment_2021,unemployment_2022,unemployment_2023,current_account_balance_1990,current_account_balance_2000,current_account_balance_2014,current_account_balance_2015,current_account_balance_2016,current_account_balance_2017,current_account_balance_2018,current_account_balance_2019,current_account_balance_2020,current_account_balance_2021,current_account_balance_2022,current_account_balance_2023,exchange_rate_usd_1990,exchange_rate_usd_2000,exchange_rate_usd_2014,exchange_rate_usd_2015,exchange_rate_usd_2016,exchange_rate_usd_2017,exchange_rate_usd_2018,exchange_rate_usd_2019,exchange_rate_usd_2020,exchange_rate_usd_2021,exchange_rate_usd_2022,exchange_rate_usd_2023,gdp_1990,gdp_2000,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp_2021,gdp_2022,gdp_2023,inflation_1990,inflation_2000,inflation_2014,inflation_2015,inflation_2016,inflation_2017,inflation_2018,inflation_2019,inflation_2020,inflation_2021,inflation_2022,inflation_2023,total_reserves_1990,total_reserves_2000,total_reserves_2014,total_reserves_2015,total_reserves_2016,total_reserves_2017,total_reserves_2018,total_reserves_2019,total_reserves_2020,total_reserves_2021,total_reserves_2022,total_reserves_2023,Unnamed: 73,value_counts
Australia,AAA,Australia,AUS,6.288,6.078,6.055,5.711,5.592,5.3,5.159,6.456,5.116,3.701,3.667,-4.98749064104478,-3.72140115832283,-3.05473423366322,-4.22902816159681,-3.44049001453332,-2.7229113685881,-2.23340154815029,0.350121808005312,2.3309306153156,3.13720851235738,0.845323879697861,0.254737257076373,1.28105666666667,1.72482666666667,1.10936329281692,1.33109026245502,1.34521397601947,1.30475807671592,1.33841214646451,1.43850654421382,1.45308511847016,1.33122425957081,1.44166445896522,1.50519106560509,311426665219.971,416167815092.908,1468265356427.76,1351296372254.31,1206836962281.84,1325582658156.54,1427809041019.44,1392723834562.64,1328414058378.38,1556735770437.26,1690858246994.43,1728057316695.61,7.33302195235872,4.45743514797224,2.48792270531404,1.50836672165921,1.27699094497324,1.94864740944527,1.91140094445691,1.61076787290379,0.846905537459305,2.86391042204994,6.59409671341846,5.5970149253731,19318743724.0756,18821546023.5147,53910325023.2378,45406035070.596,52480791522.7773,65653718118.1818,53909533420.3007,57994685703.4779,42544629264.9892,57877502314.3513,56701901829.6459,61703347652.0138,30851673862.5069,73.0
Canada,AAA,Canada,CAN,6.829,7.023,6.945,7.038,6.426,5.837,5.69,9.657,7.527,5.28,5.366,-3.39880313128256,2.48322832733606,-2.31892137730875,-3.51398716666024,-3.093111446907,-2.8034274767599,-2.38507161087906,-1.95170274818579,-2.01049352658992,0.0127774681160374,-0.352632019729745,-0.729574020921299,1.16677362666667,1.485394095,1.10474713237886,1.27878620362554,1.3256151637482,1.29793584646039,1.29581792813534,1.32679336266012,1.34115267222386,1.2538769021268,1.30155477474355,1.3499086407939,596075591360.987,744773415931.587,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1743725183672.52,1655684730000.19,2007472181464.15,2161483369422.01,2142470914401.36,4.78047693336304,2.71943995691976,1.90663590717861,1.12524136094277,1.42875954701085,1.59688412852977,2.26822567248103,1.94926902411593,0.716999632307827,3.39519318527528,6.80280115341613,3.87900159788426,23529517647.2095,32427268296.4522,74699962252.5789,79753521149.8993,82718110857.6299,86677706696.7064,83925602808.0082,85297110783.6887,90428136419.3486,106615119570.101,106952377364.743,117550899244.64,58775449658.82,73.0
Denmark,AAA,Denmark,DNK,4.476,6.925,6.278,5.989,5.833,5.131,5.018,5.637,5.043,4.434,5.142,0.992308259412131,1.37879989622757,8.88617786228902,7.95393817418838,7.0785087767559,7.36024532050309,6.24457266735134,7.42526960323985,7.23112965395448,8.65914472386699,11.5656223681511,9.84084615992846,6.18855833333333,8.08314416666667,5.61246666666667,6.72790683129629,6.73171825724638,6.60289346561404,6.31461878666667,6.669446615,6.54215220416667,6.2871130825,7.0761518625,6.88970258583334,138217740684.484,164043817223.59,352832602064.452,301758922337.637,312181849372.233,331610593961.988,355293374912.393,345401473012.615,355631021931.621,408378204639.999,401945576107.963,407091920305.404,2.64160306382,2.90328203236453,0.56402054044954,0.452034153691575,0.250000000000031,1.14713216957602,0.813609467455631,0.75813157251162,0.420711974110115,1.8530454398968,7.6965669988926,3.30517811237606,11225840672.0633,15695951232.7906,75391887669.079,65185093406.2789,64215805619.9462,75244445865.8039,70942078373.7473,66835547933.6664,72823350926.5649,82235844735.9223,96072552269.3927,109370841823.918,54685420948.459,73.0
Germany,AAA,Germany,DEU,7.917,4.981,4.624,4.122,3.746,3.384,3.136,3.856,3.638,3.135,3.045,2.61258287267843,-1.5131310276989,7.19249005241928,8.10033539639847,8.89985353214631,8.08358573755333,8.44474369079798,7.88005874480123,6.34985102790796,6.93196765120446,4.43791548373552,5.93653557660618,1.61573333333333,148180182989.82025,296360365978.0248,444540548966.2293,592720731954.4338,740900914942.6384,889081097930.8429,1037261280919.0474,1185441463907.252,1333621646895.4563,1481801829883.6611,1629982012871.8655,1778162195860.07,1966980701145.1,3965800686309.79,3423568450957.03,3537784107980.55,3763092263752.95,4052008447223.53,3957208055215.68,3940142541354.1,4348297440387.53,4163596357879.39,4525703903627.53,2.69646824292392,1.44026838719741,0.906794000434246,0.514426137125456,0.491747008445174,1.50949485109628,1.73216879766942,1.44565976888253,0.144877925813982,3.06666666666673,6.87257438551097,5.94643667725823,104547296415.9,87496869035.2706,193484758847.919,173730930555.425,184031339953.397,199983070123.869,198027061675.403,224027961016.415,268408603348.679,295736219413.597,293913690186.797,322700066274.527,161350033168.2635,62.0
Liechtenstein,AAA,Liechtenstein,LIE,9.640537234042553,9.136085106382978,9.052058510638298,8.903803191489363,8.664478723404255,8.383856382978724,8.24477659574468,9.305228723404252,9.015765957446808,8.230759525263965,7.967091058135851,15166521.337713469,30178282.315407977,43069975.5199744,57426633.40487423,71436513.14834772,85311683.58230376,99530297.98826244,113405872.45188586,127757667.7331725,142109464.19339067,156486292.80370685,170866393.11612332,184078552.0104396,2451327682.099488,4784156512.980862,7121938309.237326,9459720076.749626,11798669162.342848,14171067206.01608,16543465217.925112,18915863228.19149,21296168591.25865,23686197864.88612,26380139252.81318,1421509216.37424,2483889858.32312,6657526979.72277,6268515276.17441,6237302033.50132,6474308717.85289,6692620691.84146,6436467007.11932,6405870210.32293,7710380085.92257,7361504432.19331,7088856120.371335,6816207808.549361,6543559496.727386,6270911184.905412,5998262873.083437,5725614561.261463,5452966249.439488,5180317937.617514,4907669625.79554,4635021313.973565,4362373002.15159,4089724690.329617,3817076378.507642,3544428066.6856675,3271779754.8636928,2999131443.0417185,2726483131.219744,2453834819.39777,2181186507.575795,1908538195.7538204,1635889883.9318466,1363241572.109872,1090593260.287897,817944948.4659233,545296636.6439486,272648324.8219738,13.0
Luxembourg,AAA,Luxembourg,LUX,2.345,5.852,6.669,6.291,5.522,5.585,5.595,6.773,5.247,4.585,5.188,8.4930185646262,11.7980371292524,4.92857348332843,5.62139533101291,7.41517069613731,6.18033427082303,8.3299045617089,8.61852198736833,9.47987672625102,11.1676053158591,6.65199542662391,5.98456446651399,33.4179166666667,1064899435.107582,2129798836.7972472,3194698238.4869123,4259597640.1765776,5324497041.866242,6389396443.555907,7454295845.245573,8519195246.935238,9584094648.624905,10648994050.31457,11713893452.004234,12778792853.6939,21230182989.3036,68804811897.6445,60071584216.1375,62216885435.9488,65712180342.9836,71000359760.4611,69890505323.5842,73699366700.2134,85584105993.8746,81641807865.7591,85755006123.5976,3.25376659083639,3.15076707022592,0.628543985440717,0.474743161437779,0.290833333333317,1.73079959118887,1.5281952430738,1.74332075653848,0.819957302127036,2.52692009066166,6.33600807777919,3.74140361983136,212608853.950435,97465747.9509168,863655853.977499,770747330.389649,973176553.118613,878080634.297165,938890223.596831,1054874472.69212,1119076142.01965,2920761393.10535,2873502278.71074,2977407185.9864,1488703623.4932,61.0
Netherlands,AAA,Netherlands,NLD,2.725,7.416,6.873,6.006,4.839,3.831,3.38,3.819,4.21,3.524,3.561,2.53727950744813,1.73766088925111,8.85180304004638,4.9187157948109,7.27492902578538,8.12817028557607,8.97983331472266,6.83928934055718,5.61802810313741,10.0468874909398,6.65774559718475,9.84754479203882,1.82094166666667,26566583667.811447,53133167333.80195,79699750999.79245,106266334665.78296,132832918331.77348,159399501997.76398,185966085663.7545,212532669329.745,239099252995.7355,265665836661.726,292232420327.7165,318799003993.707,417649282153.726,901556501756.467,775743675302.734,797163949289.885,848233537845.884,929733599796.862,928903005576.469,932560861701.17,1054472123449.6,1046540797548.64,1154361305398.06,2.45409184818341,2.36052233801948,0.976035079699679,0.600248147278776,0.316666666666743,1.38145871407206,1.7034979474447,2.63369910249601,1.27246037789161,2.67572008805385,10.0012078753473,3.83839354342808,34401209143.9927,17688007846.9298,43054391590.6256,38213751383.3571,35905772878.2734,38421990800.0802,38431677254.824,43320049622.8042,53971404675.3332,64469433091.37,63352655591.2206,69829689143.2849,34914844602.64245,62.0
Switzerland,AAA,Switzerland,CHE,2.658,4.826,4.801,4.918,4.797,4.713,4.394,4.817,5.097,4.3,4.05,2.30416679097883,10.4896486650384,6.86697602914757,8.87897961536886,7.27641251378068,5.34410987370175,5.04991825776315,4.27046352284521,0.374394134361919,6.77850928417412,9.50618667685363,6.5987180318076,1.38915833333333,1.6888425,0.916151047283613,0.962381328004354,0.985394394244835,0.984691666666667,0.977891666666667,0.993709166666667,0.938965,0.913845833333333,0.9548325,0.89849,265763573999.424,279216033870.204,727000000000.0,694118186379.628,687895460902.713,695200833086.499,725568717468.001,721369112726.724,741999406005.627,813408787222.499,818426550206.45,884940402230.409,5.4039590921894,1.5585291967901,-0.0132025387514939,-1.14390867228183,-0.434618664285835,0.533787839825897,0.936335464113563,0.362886179940614,-0.725874933313384,0.581814168489856,2.83502798644463,2.13540088016377,61284432314.7384,53620270122.4935,545787281753.12,602402585638.351,678909680869.541,811030675725.885,787021335043.725,854928999231.114,1083404341999.89,1109821661884.41,923627520640.528,863891876435.069,431945938254.5345,74.0
Norway,AAA,Norway,NOR,3.458,3.484,4.296,4.679,4.162,3.8,3.687,4.422,4.369,3.233,3.581,3.32681988034129,14.6268809774529,10.954886718139,8.01360708862408,3.98049523650325,5.38896566318335,7.94959431636822,2.91600859889184,1.14557292891118,13.1620767521094,29.8367712338156,17.4497504329509,6.25974166666667,8.80184166666667,6.30166666666667,8.06416666666667,8.4,8.27166666666666,8.1325,8.8,9.41583333333334,8.59,9.61416666666667,10.5633333333333,119791843059.572,171457201935.968,501736471832.848,388159512245.53,370956547619.048,401745275035.261,439788625883.8,408742840909.091,367633418886.627,503367986030.268,593726965415.619,485310823603.662,4.1310334831135,3.08550609131276,2.04170286707211,2.17113665389527,3.54999999999998,1.87510059552554,2.76483134528788,2.16773003305402,1.28658490708005,3.48388055266678,5.76412317852272,5.51784987104659,15788119113.9691,27922060281.5661,64800723856.6031,57455936481.5608,60445172369.6599,65923863904.4306,63145471060.2407,66946037549.8517,75258813465.0281,84270941751.0846,72077375478.9291,80459096008.3425,40229548040.67125,73.0
Sweden,AAA,Sweden,SWE,5.466,7.954,7.432,6.99,6.718,6.365,6.833,8.291,8.722,7.392,7.587,-2.42431842473216,4.44602906629136,3.25046610689162,2.59383978182218,1.84679598887557,2.07432570613665,2.192064751545,5.32712064769757,5.7975833223945,6.92467101394646,4.97912032952694,6.45315517194608,5.91879,9.16224416666667,6.860785,8.43484083333333,8.56199166666667,8.54886083333333,8.69251833333333,9.45834916666667,9.21030902842085,8.57656671607378,10.114251277564,10.6101612965536,261469578630.804,262905197441.662,577730245154.162,501698263620.663,514218206628.325,536083940228.684,551312498430.164,532169294165.94,545147614972.141,637186904843.636,579895717343.956,584960475767.32,10.3665533879493,0.899143734041633,-0.179638494114635,-0.0467847449832812,0.984269244577992,1.79449904665589,1.95353530127028,1.78415097403835,0.497367318853572,2.16319736447153,8.36929098869189,8.54862489748902,20324328881.439,16498728321.8885,62579168750.6963,58098544752.6552,59361642625.4786,62191481193.5854,60566144400.5195,55509629819.8897,58260344659.2008,62053165556.5423,64288785008.4922,60862760991.0537,30431380532.02685,73.0
